BATCH,FASSpecimen,length_cm,Decimal age
14,469,132,4.9167
14,470,72,1.8861
14,471,108,2.9083
14,472,97,2.9000
14,473,115,3.8861
14,474,97,2.9000
14,475,43,0.9306
14,476,87,1.9250
14,477,99,2.3361
14,478,116,3.3917
14,479,70,1.9306
14,480,74,1.9889
14,481,77,1.4944
14,482,76,1.5000
14,483,122,4.5167
14,484,89,2.5056
14,485,78,2.1889
14,486,68,1.4722
14,487,75,1.5000
14,488,65,0.8139
14,489,84,1.5417
14,490,86,2.0417
14,491,86,2.5056
14,492,68,1.4778
14,493,98,3.0194
14,494,73,1.4806
14,495,92,2.4778
14,496,85,1.8944
14,497,68,1.4833
14,498,80,1.7750
14,499,82,1.7750
14,500,58,0.7778
14,501,63,1.2944
14,502,56,0.8222
14,503,53,0.8222
14,504,77,1.4278
14,505,79,1.4194
14,506,74,1.4278
14,507,76,1.4278
14,508,144,7.4222
14,509,104,2.5167
14,510,115,3.3333
14,511,145,9.4222
14,512,141,5.5167
14,513,101,3.4222
14,514,122,3.5167
14,515,147,5.4222
14,516,104,3.1972
14,517,120,5.2250
14,518,136,6.1417
14,519,118,3.3333
14,520,135,5.3333
14,521,111,3.5167
14,522,113,4.3333
14,523,93,2.4611
14,524,114,4.1417
14,525,100,3.2250
14,526,88,2.2250
14,527,99,3.2250
14,528,150,8.1417
14,529,109,3.1972
14,530,90,1.4611
14,531,100,2.2694
14,532,86,1.2694
14,533,113,3.5167
14,534,103,2.5167
14,535,81,1.2694
14,537,95,3.1583
14,538,128,5.1583
14,539,93,2.1583
14,540,97,2.1583
14,541,96,1.1583
14,542,140,6.1583
14,543,110,3.8861
14,544,121,4.8861
14,545,123,4.8861
14,546,115,2.8861
14,547,87,2.0389
14,548,122,4.6806
14,549,91,1.6556
14,550,136,6.8861
14,551,97,2.0389
14,552,94,3.1583
14,553,93,3.0389
14,554,79,1.6806
14,555,88,2.6806
14,556,97,3.1583
14,557,89,2.0389
14,558,132,5.6806
14,559,89,1.6556
14,560,92,3.0389
14,561,127,4.7833
14,562,122,4.7333
14,563,132,4.7194
14,564,101,2.7833
14,565,129,7.7333
14,566,142,5.7333
14,567,113,2.7833
14,568,121,4.7194
14,569,98,1.7833
14,570,121,3.7194
14,571,104,2.5806
14,572,157,6.7333
14,573,123,4.7333
14,574,107,2.7833
14,575,125,3.5806
14,576,144,9.7333
14,577,139,6.7194
14,578,101,2.2500
14,579,113,3.2056
14,580,113,3.1500
14,581,107,3.1667
14,582,92,1.2500
14,583,102,3.0667
14,584,102,3.0611
14,585,127,5.1667
14,586,106,3.1361
14,587,101,3.1556
14,588,111,3.1361
14,589,105,3.1361
14,590,102,2.2500
14,591,109,3.2444
14,592,99,2.0667
14,593,100,3.1556
14,594,104,2.2639
14,595,113,4.0611
14,596,95,2.0611
14,597,109,3.1500
14,598,85,2.1500
14,599,95,2.0667
14,600,98,3.0667
14,601,93,2.0667
14,602,102,3.1361
14,603,98,3.1556
14,604,108,4.1306
14,605,140,6.1306
14,606,117,4.1500
14,607,119,3.3083
14,608,99,2.2889
14,609,116,3.2111
14,610,96,2.2861
14,611,103,2.3222
14,612,136,5.2861
14,613,110,2.3222
14,614,137,6.3083
14,615,139,7.3083
14,616,100,2.2889
14,617,90,2.2861
14,618,114,3.2639
14,619,130,5.3083
14,620,105,2.3028
14,621,110,2.3222
14,622,123,5.2861
14,623,117,4.2889
14,624,131,6.2889
14,625,83,1.3222
14,627,132,7.2306
14,628,116,3.2861
14,629,96,1.3139
14,630,100,5.2889
14,631,108,2.2889
14,632,97,3.2056
14,633,124,3.2500
14,634,108,2.2500
14,635,102,3.2444
14,636,100,2.2500
14,637,97,2.3028
14,638,106,3.2111
14,639,127,4.2889
14,640,120,4.2944
14,641,104,2.2500
14,642,122,3.2500
14,643,88,1.4667
14,644,114,3.3639
14,645,84,1.4667
14,646,114,3.3444
14,647,113,2.3694
14,648,123,2.3889
14,649,107,3.3500
14,650,126,4.4361
14,651,116,3.4167
14,652,117,3.3694
14,653,112,2.4167
14,654,81,1.4472
14,655,139,9.4417
14,656,103,2.4361
14,657,78,1.4361
14,658,133,5.3889
14,659,105,2.4667
14,660,150,9.3583
14,661,124,3.4167
14,662,116,3.3833
14,663,110,2.4472
14,664,101,2.3972
14,665,116,3.3500
14,666,122,3.4083
14,667,117,3.4000
14,668,124,3.3500
14,669,100,2.3833
14,670,108,2.4389
14,671,108,2.3500
14,672,104,2.4472
14,673,102,2.3639
14,674,98,1.3694
14,675,131,4.3583
14,676,143,6.4417
14,677,117,2.3500
14,678,105,2.4167
14,679,114,3.4417
14,680,111,3.3639
14,681,84,1.4667
14,682,97,1.5556
14,683,128,4.5611
14,684,147,8.6444
14,686,97,2.5750
14,687,82,1.6111
14,688,127,3.6444
14,689,129,4.5972
14,690,111,3.5861
14,691,98,2.5861
14,692,136,7.5917
14,693,145,8.5917
14,694,140,7.5917
14,695,109,2.6056
14,696,112,3.5861
14,697,90,1.6111
14,698,133,7.5861
14,699,120,4.5972
14,700,120,4.5917
14,701,103,2.6361
14,702,108,2.6056
14,704,87,1.5972
14,705,102,2.6250
14,706,114,3.6361
14,707,108,2.5972
14,708,129,4.6056
14,709,111,2.6167
14,710,89,1.6167
14,711,92,1.5556
14,712,109,2.5556
14,713,118,3.5611
14,714,123,3.4083
14,715,85,1.5111
